addr,name,size,factor_a,factor_b,unit,format,description
0x0F8B,mrmM_EWUN,2,0.010000,0.000000,mm^3,6.2f,M_E Fahrerwunschmenge nach externem Mengeneingriff
0x0F8C,mrmM_EMOT,2,0.010000,0.000000,mm^3,6.2f,M_E Einspritzmenge nach ARD
0x0F8D,mrmM_ELLR,2,0.010000,0.000000,mm^3,6.2f,M_E Menge aus Leerlaufregelung
0x0F8E,mrmM_EKORR,2,0.010000,0.000000,mm^3,6.2f,M_E Fahrmenge korrigiert mit Vollast- und Mengenabgleich
0x0F9A,mroFABZUST,2,1.000000,0.000000,-,6.2f,Zustand Ablaufsteuerung
0x0FAE,xcmZ_E,2,1.000000,0.000000,-,6.2f,EWS Uebertragungsfehlerzaehler
0x0FB7,khoNOR_AB,2,1.000000,0.000000,-,6.2f,Zustand und Abschaltbedingungen der Kuehlmittelheizung
0x0FD0,mrmKM_akt,2,10.000000,0.000000,km,6.2f,aktueller km-Stand von Kombiinstrument
0x0FF6,anmUG1,2,0.017644,0.000000,V,6.2f,"UG1 Speisespannung 1 fuer Pedalwertgeber 2, Ladedruckfuehler, Luftmassenmesser"
0x0FF7,anmUG2,2,0.017644,0.000000,V,6.2f,"UG2 Speisespannung 2 fuer Pedalwertgeber 1, Kraftstoff- ,Vorfoerderdruckfuehler"
0x0FF8,anmUC1,2,0.020572,0.000000,V,6.2f,"UC1 Kondensatorspannung 1 fuer Zylinder 1,2,3"
0x0FF9,anmUC2,2,0.020572,0.000000,V,6.2f,"UC2 Kondensatorspannung 2 fuer Zylinder 4,5,6"
0x0FFA,anmPGS,2,0.010000,0.000000,%,6.2f,PGS Pedalwertgeber Poti 2
0x0FFC,RAILDRUCK,2,10.235414,0.000000,bar,6.2f,KDF Raildruck
0x0FFE,anmIDV,2,4.995005,0.000000,mA,6.2f,IDV Istwert Stromregelung Druckregelventil
0x1000,fbmSDIAL,2,1.000000,0.000000,-,6.2f,"Anforderung Diagnoselampe aus Fehlerbehandlung (0:Aus,1:Ein,2:Blinken)"
0x1300,fbmBSTZ_UB,2,0.100000,0.000000,h,6.2f,UB Betriebsstunden
0x1C00,comGTR_opt,2,1.000000,0.000000,-,6.2f,Identifikation Handschalter/Automatik
0x1F06,VORFOERDERDRUCK,2,0.001000,0.000000,bar,6.2f,VDF Vorfoerderdruck
