addr,name,size,factor_a,factor_b,unit,format,description
0x13CD,MeUn_iSet_mp,2,0.228891,0.000000,mA,8.2f,Sollstrom für die Zumesseinheit
0x13CE,PFlt_pMid,2,0.125002,0.000000,hPa,8.2f,Absolutdruck im Partikelfilter
0x13D4,EGT_tiRgnOilDil,2,0.010000,0.000000,s,13.4f,Critical time for oil dilution
0x13D5,PCR_stMonitor,2,1.000000,0.000000,-,5.1f,Statusangabe bei Abschaltung der Regelung
0x13D7,PFlt_facMltCor_mp,2,0.000122,0.000000,-,8.6f,Korrekturfaktor Additivasche
0x13D9,AFSCD_tiRaw,2,0.100000,0.000000,us,8.3f,Periodendauerrohwert des Luftmassensensors
0x13DA,AFSCD_dmAirNorm,2,0.048829,-1599.971484,Kg/h,8.3f,Normalisierte Luftmasse
0x13DE,AirCtl_mGvnrDvt,2,0.048829,-1599.971484,mg/Hub,8.3f,Regelabweichung
0x13DF,CoEng_trqInrSet,2,0.114445,-2500.060084,Nm,8.3f,inneres Moment Sollwert (>Mengenberechnung)
0x13E0,IndSys_rVSA,2,0.010000,0.000000,%,8.4f,Sollposition für Einlaßkanalabschaltung
0x13E2,GlwCD_RawVal_mp,2,1.000000,0.000000,-,5.1f,Rohwert für das Glühanforderungsregister des Glühcontrollers
0x13E4,BrkCD_stMnSwtRawVal,2,1.000000,0.000000,-,5.1f,Rohwert Bremskontakt nicht entprellt
0x13E5,BrkCD_stRedSwtRawVal,2,1.000000,0.000000,-,5.1f,Rohwert redundanter Bremskontakt nicht entprellt
0x13E6,ConvCD_stRawVal,2,1.000000,0.000000,-,5.1f,Kupplungssignal Rohwert
0x13F1,PFlt_mSotMeas_mp,2,0.010000,0.000000,g,8.4f,Partikelmasse additivkorrigiert
0x13F2,PFlt_mSotMeasRaw_mp,2,0.010000,0.000000,g,8.4f,Strömungswdst. in Partikelmasse umgerechnet
0x13F3,PFlt_mSotSim_mp,2,0.010000,0.000000,g,8.4f,simulierte Partikelmasse
0x13F9,PFlt_tPreFlt_mp,2,0.016787,-50.138440,deg C,8.3f,PFlt_tPre PT1 gefiltert
0x13FA,PFlt_vVehFlt_mp,2,0.003815,0.000000,km/h,8.4f,VSSCD_v PT1 gefiltert
0x13FC,Clg_tiDynTst,2,0.010000,0.000000,s,13.4f,"Abgelaufene Zeit, seit der der dynamische plausibilitätstest aktiv ist"
0x13FD,Clg_dtDynTst,2,0.100000,0.000000,deg C,8.3f,Ansteig der Wassertemperatur seit start
0x13FE,PFlt_tSurf,2,0.016787,-50.138440,deg C,8.3f,Oberflächen Temperatur vom Partikel Filter
0x13FF,Clg_tEndDynTst,2,1.000240,-41.084307,deg C,8.3f,CTSCD_tClnt am Ende des Tests
0x1401,Rail_stCtlLoop,2,1.000000,0.000000,-,5.1f,Zustand der Steuerung Raildruckregler
0x1405,IATSCD_tAirLinCats,2,0.016787,-50.138440,deg C,8.3f,Ladelufttemperatur - Linearisierter Wert aus HWK vor Aufruf der Übergangsfunktion
0x1407,MeUnCD_iActFlt_mp,2,0.228891,0.000000,mA,8.2f,Zumesseinheit-Stromregelung gefilterter Strom-Istwert
0x1408,DSM_ctOBDPath,2,1.000000,0.000000,-,5.1f,Anzahl der momentanen OBD-fehler im Fehlerspeicher
0x140B,CrCtl_vDes,2,0.003815,0.000000,km/h,8.4f,Sollgeschwindigkeit FGR
0x140C,VehDa_rVn,2,0.000002,0.000000,(km/h)/rpm,9.7f,Verhältnis von Fahrgeschwindigkeit zur Motordrehzahl
0x140D,DSM_stCycles,2,1.000000,0.000000,-,5.1f,"Status der DSM Trigger Zyklen (WUC, DC, ...)"
0x140E,DSM_tiDCDelay_mp,2,1.000000,0.000000,-,8.2f,aktuelle Zeit für Driving cycle Verzögerungszeit
0x140F,DSM_ctTstPath,2,1.000000,0.000000,-,8.2f,Anzahl der getesteten Fehlerpfade
0x1411,DSM_ctRdyActCyc_mp,2,1.000000,0.000000,-,5.1f,Status für jedes Readinessbit aus dem aktuellen driving cycle
0x1413,DSM_ctRdyTstCompr_mp,2,1.000000,0.000000,-,5.1f,Anzahl von in diesem Zyklus getesteten Fehlerpfaden die zum Readiness Bit Comprehensive Components  gehören.
0x1414,PFlt_resFlow,2,0.001000,0.000000,hPa/(m^3/h),8.5f,Strömungswiderstand
0x1415,CrCtl_numGear,2,1.000000,0.000000,-,5.1f,Gang FGR
0x1416,CoEng_stShutOff,2,1.000000,0.000000,-,5.1f,Typ der wirksamen Abschaltursache (0: Nachlauf; 1: reversibel; 2: irreversibel)
0x1417,CoEng_trqInrLtd,2,0.114445,-2500.060084,Nm,8.3f,"inneres Moment Sollwert nach Begrenzung, vor Eingriff ARD-Störungsregler"
0x1418,StSys_trqStrt,2,0.114445,-2500.060084,Nm,8.3f,inneres Moment Startwert
0x1419,CrCtl_trqDes,2,0.114445,-2500.058653,Nm,8.3f,Momentenanforderung FGR
0x141A,DSM_ctRdyTstEGR_mp,2,1.000000,0.000000,-,5.1f,Anzahl von in diesem Zyklus getesteten Fehlerpfaden die zum Readiness Bit EGR gehören.
0x141B,DSM_ctRdyTstFuel_mp,2,1.000000,0.000000,-,5.1f,Anzahl von in diesem Zyklus getesteten Fehlerpfaden die zum Readiness Bit Fuel System gehören.
