Category,Bosch Name,Unit,DDE4 M57 (E39) ADR,DDE4 M57 (E39) FACT_A,DDE4 M57 (E39) FACT_B,DDE5 M57TU (E39/E46) ADR,DDE5 M57TU (E39/E46) FACT_A,DDE5 M57TU (E39/E46) FACT_B,DDE5 M57TU (E53) ADR,DDE5 M57TU (E53) FACT_A,DDE5 M57TU (E53) FACT_B,DDE5 M57TU (E60) ADR,DDE5 M57TU (E60) FACT_A,DDE5 M57TU (E60) FACT_B,DDE6 M57TU2 (E60/E90) ADR,DDE6 M57TU2 (E60/E90) FACT_A,DDE6 M57TU2 (E60/E90) FACT_B,DDE6.2 M57TU2TOP ADR,DDE6.2 M57TU2TOP FACT_A,DDE6.2 M57TU2TOP FACT_B,DDE5 M47TU (E46) ADR,DDE5 M47TU (E46) FACT_A,DDE5 M47TU (E46) FACT_B,DDE5 M47TU (E46/E83) ADR,DDE5 M47TU (E46/E83) FACT_A,DDE5 M47TU (E46/E83) FACT_B,DDE6 M47TU2 (E90) ADR,DDE6 M47TU2 (E90) FACT_A,DDE6 M47TU2 (E90) FACT_B
EGR,mrmM_EBEGR,--,0x0F8A,0,0x00,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRICAL,BattCD_u,V,,,,0x002F,0.000000,0,0x0093,0.002456,0.000000,0x002F,0.000000,0,0x0093,0.002456,0.000000,0x0093,0.002456,0.000000,0x002F,0.000000,0,0x0093,0.002456,0.000000,0x0093,0.002456,0.000000
ELECTRICAL,CrCtl_stLampOut,-,,,,0x00D1,0.000000,0,0x1459,1.000000,0.000000,0x00D1,0.000000,0,0x148D,1.000000,0.000000,0x148D,1.000000,0.000000,0x00D1,0.000000,0,0x1459,1.000000,0.000000,0x148D,1.000000,0.000000
ELECTRICAL,DSM_stSysLamp,-,,,,0x0029,0.000000,0,0x13B1,1.000000,0.000000,0x0029,0.000000,0,0x14C2,1.000000,0.000000,0x14C2,1.000000,0.000000,0x0029,0.000000,0,0x13B1,1.000000,0.000000,0x14C2,1.000000,0.000000
ELECTRICAL,FlSys_volTotalFlt_mp,,,,,,,,,,,,,,,,,,,,0x004B,0.000000,0,,,,,,
ELECTRICAL,FlSys_volTotalRef_mp,,,,,0x004C,0.000000,0,,,,0x004C,0.000000,0,,,,,,,0x004C,0.000000,0,,,,,,
ELECTRICAL,GlwCtl_stLampOut,-,,,,0x0061,0.000000,0,0x0061,1.000000,0.000000,0x0061,0.000000,0,0x00A7,1.000000,0.000000,0x00A7,1.000000,0.000000,0x0061,0.000000,0,0x0061,1.000000,0.000000,0x00A7,1.000000,0.000000
ELECTRICAL,IBSCD_ibatt_w_mp,,,,,,,,,,,0x0072,-200.000000,0,,,,,,,,,,,,,,,
ELECTRICAL,IBSCD_tbatt_mp,,,,,,,,,,,0x003D,-48.000000,0,,,,,,,,,,,,,,,
ELECTRICAL,IBSCD_ubatt_w,,,,,,,,,,,0x0067,0.000000,0,,,,,,,,,,,,,,,
ELECTRICAL,IBSCD_ubatt_w_mp,,,,,,,,,,,0x006A,6.000000,0,,,,,,,,,,,,,,,
ELECTRICAL,I_batt,A,,,,,,,,,,,,,0x00F2,0.015259,-200.000000,0x00F2,0.015259,-200.000000,,,,,,,0x00F2,0.015259,-200.000000
ELECTRICAL,T_batt,�C,,,,,,,,,,,,,0x00FE,0.100000,-60.000000,0x00FE,0.100000,-60.000000,,,,,,,0x00FE,0.100000,-60.000000
ELECTRICAL,U_batt,V,,,,,,,,,,,,,0x00FF,0.000250,6.000000,0x00FF,0.000250,6.000000,,,,,,,0x00FF,0.000250,6.000000
ENGINE,CoEng_ctUnpla,-,,,,,,,,,,,,,0x1B6E,1.000000,0.000000,0x1B6E,1.000000,0.000000,,,,,,,0x1B6E,1.000000,0.000000
ENGINE,CoEng_pDiffPFltPrdc_mp,hPa,,,,,,,0x14B5,0.125002,0.000000,,,,,,,,,,,,,0x14B5,0.125002,0.000000,,,
ENGINE,CoEng_rTrq,%,,,,0x0004,0.000000,0,0x0004,0.393699,0.000000,0x0004,0.000000,0,0x0004,0.393701,0.000000,0x0004,0.393701,0.000000,0x0004,0.000000,0,0x0004,0.393699,0.000000,0x0004,0.393701,0.000000
ENGINE,CoEng_stAftRun,-,,,,,,,,,,,,,0x1B6C,1.000000,0.000000,0x1B6C,1.000000,0.000000,,,,,,,0x1B6C,1.000000,0.000000
ENGINE,CoEng_stCurrLimActive,-,,,,,,,,,,,,,0x1B6D,1.000000,0.000000,0x1B6D,1.000000,0.000000,,,,,,,0x1B6D,1.000000,0.000000
ENGINE,CoEng_stEng,-,,,,,,,,,,,,,0x00BC,1.000000,0.000000,0x00BC,1.000000,0.000000,,,,,,,0x00BC,1.000000,0.000000
ENGINE,CoEng_stIRevShutOff,-,,,,,,,,,,,,,0x1457,1.000000,0.000000,0x1457,1.000000,0.000000,,,,,,,0x1457,1.000000,0.000000
ENGINE,CoEng_stIRevShutOff1,-,,,,,,,,,,,,,0x1458,1.000000,0.000000,0x1458,1.000000,0.000000,,,,,,,0x1458,1.000000,0.000000
ENGINE,CoEng_stRevShutOff,-,,,,,,,,,,,,,0x1455,1.000000,0.000000,0x1455,1.000000,0.000000,,,,,,,0x1455,1.000000,0.000000
ENGINE,CoEng_stRevShutOff1,-,,,,,,,,,,,,,0x1456,1.000000,0.000000,0x1456,1.000000,0.000000,,,,,,,0x1456,1.000000,0.000000
ENGINE,CoEng_stShutOff,-,,,,0x008E,0.000000,0,0x1416,1.000000,0.000000,0x008E,0.000000,0,0x1450,1.000000,0.000000,0x1450,1.000000,0.000000,0x008E,0.000000,0,0x1416,1.000000,0.000000,0x1450,1.000000,0.000000
ENGINE,CoEng_stTst,-,,,,,,,,,,,,,0x1978,1.000000,0.000000,0x1978,1.000000,0.000000,,,,,,,0x1978,1.000000,0.000000
ENGINE,CoEng_trq,Nm,,,,,,,0x14B6,0.114445,-2500.060084,,,,0x0097,0.114445,-2500.059225,0x0097,0.114445,-2500.059225,,,,0x14B6,0.114445,-2500.060084,0x0097,0.114445,-2500.059225
ENGINE,CoEng_trqInrLtd,Nm,,,,0x008F,-2500.060084,0,0x1417,0.114445,-2500.060084,0x008F,-2500.060084,0,0x1451,0.114445,-2500.059225,0x1451,0.114445,-2500.059225,0x008F,-2500.060084,0,0x1417,0.114445,-2500.060084,0x1451,0.114445,-2500.059225
ENGINE,CoEng_trqInrSet,Nm,,,,0x0057,-2500.060084,0,0x13DF,0.114445,-2500.060084,0x0057,-2500.060084,0,0x00EE,0.114445,-2500.059225,0x00EE,0.114445,-2500.059225,0x0057,-2500.060084,0,0x13DF,0.114445,-2500.060084,0x00EE,0.114445,-2500.059225
ENGINE,CoEng_trqLimMin_mp,Nm,,,,0x0094,-2500.060084,0,0x141C,0.114445,-2500.060084,0x0094,-2500.060084,0,0x1453,0.114445,-2500.059225,0x1453,0.114445,-2500.059225,0x0094,-2500.060084,0,0x141C,0.114445,-2500.060084,0x1453,0.114445,-2500.059225
ENGINE,CoEng_trqLimPDiff,Nm,,,,,,,0x14B7,0.114445,-2500.060084,,,,,,,,,,,,,0x14B7,0.114445,-2500.060084,,,
ENGINE,CoEng_voltotFlConsum,ul,,,,0x00CB,-683015.800225,0,0x1453,1.000000,0.000000,0x00CB,-683015.800225,0,0x1454,20.844785,-683021.068033,0x1454,20.844785,-683021.068033,0x00CB,0.000000,0,0x1453,1.000000,0.000000,0x1454,20.844785,-683021.068033
ENGINE,EngM_stOut,-,,,,0x00DB,0.000000,0,0x1463,1.000000,0.000000,0x00DB,0.000000,0,0x009C,1.000000,0.000000,0x009C,1.000000,0.000000,0x00E1,0.000000,0,0x1463,1.000000,0.000000,0x009C,1.000000,0.000000
ENGINE,EngM_stSync,-,,,,0x00B0,0.000000,0,0x00B0,1.000000,0.000000,0x00B0,0.000000,0,0x009D,1.000000,0.000000,0x009D,1.000000,0.000000,0x00B0,0.000000,0,0x00B0,1.000000,0.000000,0x009D,1.000000,0.000000
ENGINE,EngM_trqFrc,Nm,,,,0x00CE,-2500.060084,0,0x1456,0.114445,-2500.060084,0x00CE,-2500.060084,0,0x1554,0.114445,-2500.059225,0x1554,0.114445,-2500.059225,0x00CE,-2500.060084,0,0x1456,0.114445,-2500.060084,0x1554,0.114445,-2500.059225
ENGINE,Eng_nAvrg,rpm,,,,0x002D,0.000000,0,0x0091,0.125002,0.000000,0x002D,0.000000,0,0x009E,0.125002,0.000000,0x009E,0.125002,0.000000,0x002D,0.000000,0,0x0091,0.125002,0.000000,0x009E,0.125002,0.000000
ENGINE,Eng_nAvrg_Carb,rpm,,,,0x000C,0.000000,0,0x000C,0.250000,0.000000,0x000C,0.000000,0,0x000C,0.250000,0.000000,0x000C,0.250000,0.000000,0x000C,0.000000,0,0x000C,0.250000,0.000000,0x000C,0.250000,0.000000
ENGINE,VehDa_tiEngOn,s,,,,0x009F,0.000000,0,0x009F,99.900100,0.000000,0x009F,0.000000,0,0x00E6,99.902395,0.000000,0x00E6,99.902395,0.000000,0x009F,0.000000,0,0x009F,99.900100,0.000000,0x00E6,99.902395,0.000000
LAMBDA/O2,Dfp_LSUMon1Sens_mp,-,,,,,,,0x14B8,1.000000,0.000000,,,,,,,,,,,,,0x14B8,1.000000,0.000000,,,
LAMBDA/O2,EGSys_ctCldStrtLSU_mp,-,,,,,,,0x153F,1.000000,0.000000,,,,,,,,,,,,,0x153F,1.000000,0.000000,,,
LAMBDA/O2,EGSys_ctCldStrtLSU_mp[0],-,,,,,,,,,,,,,0x1518,1.000000,0.000000,0x1518,1.000000,0.000000,,,,,,,0x1518,1.000000,0.000000
LAMBDA/O2,EGSys_stHtgLSU,-,,,,,,,0x153E,1.000000,0.000000,,,,,,,,,,,,,0x153E,1.000000,0.000000,,,
LAMBDA/O2,EGSys_stHtgLSU[0],-,,,,,,,,,,,,,0x1519,1.000000,0.000000,0x1519,1.000000,0.000000,,,,,,,0x1519,1.000000,0.000000
